date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-03-10,18.831,6.631,12.010166,0.0,14.4,19.7,4.55,11.306249,0.0,12.872201,-0.8690014,0.8690014,2.0809999,2.0809999,0.7039175,0.7039175,0.0,0.0,1.5277987,1.5277987
2025-03-11,12.431001,8.481,10.522668,0.0,16.199999,14.2,5.4,9.862498,0.0,16.077536,-1.7689991,1.7689991,3.0809999,3.0809999,0.6601696,0.6601696,0.0,0.0,0.12246323,0.12246323
2025-03-12,15.831,3.131,9.905999,5.8999996,13.32,15.0,3.75,9.210416,7.7,14.192631,0.8310003,0.8310003,-0.61899996,0.61899996,0.69558334,0.69558334,-1.8000002,1.8000002,-0.8726311,0.8726311
2025-03-13,10.681001,3.081,9.1685,17.2,24.119999,12.15,2.0,8.672916,11.500001,21.872036,-1.4689989,1.4689989,1.0810001,1.0810001,0.49558353,0.49558353,5.7,5.7,2.247963,2.247963
2025-03-14,5.0309997,1.9810001,3.408083,3.3999996,24.84,6.3,1.35,3.3708332,2.9999998,23.370903,-1.2690005,1.2690005,0.63100004,0.63100004,0.037249804,0.037249804,0.39999986,0.39999986,1.4690971,1.4690971
2025-03-15,6.5309997,0.281,3.2539167,0.0,12.599999,6.7,-1.25,2.3708334,0.0,10.825469,-0.16900015,0.16900015,1.531,1.531,0.88308334,0.88308334,0.0,0.0,1.7745304,1.7745304
2025-03-16,7.5309997,-0.419,4.01225,0.0,15.4800005,7.35,-3.25,2.2166665,0.0,10.706595,0.18099976,0.18099976,2.831,2.831,1.7955835,1.7955835,0.0,0.0,4.773405,4.773405
2025-03-17,3.4810002,-0.36900002,1.551833,1.9999999,19.8,3.5,-2.7,0.42916664,1.6999999,21.24,-0.018999815,0.018999815,2.331,2.331,1.1226664,1.1226664,0.29999995,0.29999995,-1.4400005,1.4400005
2025-03-18,6.881,-2.2689998,1.9705834,0.0,21.599998,6.45,-4.05,0.71249986,0.0,19.561287,0.43100023,0.43100023,1.7810004,1.7810004,1.2580836,1.2580836,0.0,0.0,2.0387115,2.0387115
2025-03-19,9.181001,-0.069,4.481,0.0,15.4800005,9.35,-1.95,3.2749999,0.0,13.330941,-0.16899967,0.16899967,1.881,1.881,1.2060001,1.2060001,0.0,0.0,2.1490593,2.1490593
2025-03-20,12.8810005,0.531,6.762251,0.0,10.799999,12.95,-0.9,5.5104165,0.0,8.790563,-0.06899929,0.06899929,1.431,1.431,1.2518344,1.2518344,0.0,0.0,2.0094366,2.0094366
2025-03-21,15.1310005,1.831,8.916417,0.0,14.04,15.4,0.05,7.5625005,0.0,13.577776,-0.2689991,0.2689991,1.781,1.781,1.3539166,1.3539166,0.0,0.0,0.462224,0.462224
2025-03-22,13.6310005,2.381,7.6726665,0.0,24.119999,13.95,2.3,7.6458325,1.0,19.98081,-0.3189993,0.3189993,0.08100009,0.08100009,0.026834011,0.026834011,-1.0,1.0,4.139189,4.139189
2025-03-23,13.481,4.1809998,8.447666,4.6,23.4,13.25,4.6,8.2125,2.0000002,20.393293,0.23099995,0.23099995,-0.41900015,0.41900015,0.23516655,0.23516655,2.5999997,2.5999997,3.0067062,3.0067062
2025-03-24,7.381,5.831,6.6059995,12.6,13.32,10.45,5.35,6.8916664,0.5,12.049249,-3.0689998,3.0689998,0.48099995,0.48099995,-0.28566694,0.28566694,12.1,12.1,1.270751,1.270751
2025-03-25,12.781,2.9810002,7.964333,0.0,10.799999,12.65,0.65,6.858333,0.0,10.7714615,0.13100052,0.13100052,2.3310003,2.3310003,1.106,1.106,0.0,0.0,0.02853775,0.02853775
2025-03-26,10.981,5.6809998,8.664332,0.2,11.5199995,13.1,4.25,8.358333,0.5,10.185519,-2.1190004,2.1190004,1.4309998,1.4309998,0.30599976,0.30599976,-0.3,0.3,1.3344803,1.3344803
2025-03-27,10.281,5.381,8.072667,0.2,11.159999,9.75,6.2,7.7833343,0.3,9.19939,0.53100014,0.53100014,-0.81899977,0.81899977,0.28933287,0.28933287,-0.10000001,0.10000001,1.9606085,1.9606085
2025-03-28,13.731,2.831,8.335168,0.0,12.599999,13.8,1.1,7.7520833,0.0,11.885453,-0.069000244,0.069000244,1.7310001,1.7310001,0.5830846,0.5830846,0.0,0.0,0.7145462,0.7145462
